source_chunk_id,published_date,source_raw,source_type,relation,target_raw,target_type,evidence,confidence
art_0008::c0000,2023-09-27,Director of OGIS,Person,WORKED_AT,Office of Government Information Services,Company,co-chaired by the Director of OGIS,0.72
art_0008::c0000,2023-09-27,Director of OIP,Person,WORKED_AT,Office of Government Information Services,Company,co-chaired by the Director of OIP,0.72
art_0010::c0000,2022-12-27,Richard Jamieson,Person,WORKED_AT,Press Gazette,Company,Contact Richard Jamieson to enquire about working with Press Gazette,0.92
art_0000::c0000,2023-05-16,onsemi,Company,PARTNERED_WITH,Sineng Electric,Company,onsemi and Sineng Electric Spearhead the Development of Sustainable Energy Applications,0.96
art_0000::c0000,2023-05-16,onsemi,Company,DEVELOPED,EliteSiC,Technology,Sineng Electric will integrate onsemi EliteSiC silicon,0.94
art_0000::c0000,2023-05-16,Sineng Electric,Company,USES,EliteSiC,Technology,Sineng Electric will integrate onsemi EliteSiC silicon,0.95
art_0003::c0000,2023-05-02,GreenPages,Company,ACQUIRED,Zanaris,Company,In February GreenPages acquired Toronto-based Zanaris an IT automation cloud and DevOps services firm,0.96
art_0003::c0000,2023-05-02,Terry Richardson,Person,WORKED_AT,AMD,Company,Terry Richardson On Why He Left AMD,0.95
art_0012::c0000,2022-12-07,Aeris Communications,Company,ACQUIRED,Ericsson,Company,Aeris to Acquire IoT Business from Ericsson,0.96
art_0012::c0000,2022-12-07,Aeris Communications,Company,PARTNERED_WITH,Ericsson,Company,Aeris Communications and Ericsson are joining together to create a leader in the fast-growing IoT industry,0.88
art_0013::c0000,2023-07-11,Ceinsys Tech Ltd,Company,DEVELOPED,GIS & Mobility,Technology,specialized GIS & Mobility engineering services provider,0.8
art_0018::c0000,2023-07-11,Sojern,Company,ACQUIRED,VenueLytics,Company,Sojern has acquired VenueLytics a platform that provides guest management and communications software for independent hotels.,0.99
art_0019::c0000,2023-03-03,Mark Leary,Person,WORKED_AT,IDC,Company,Mark Leary research director for network analytics and automation at IDC,0.99
art_0015::c0000,2023-08-10,Bob Iger,Person,LEADS,Walt Disney Co.,Company,Walt Disney Co. CEO Bob Iger,0.95
art_0015::c0000,2023-08-10,Walt Disney Co.,Company,USES,Disney+,Technology,Disney+ and Hulu services,0.9
art_0015::c0000,2023-08-10,Walt Disney Co.,Company,USES,Hulu,Technology,Disney+ and Hulu services,0.9
art_0025::c0000,2023-03-29,IAS,Company,DEVELOPED,verification solution,Technology,IAS provides verification solution to Amazon Publisher Services Connections Marketplace,0.72
art_0025::c0000,2023-03-29,Amazon Publisher Services,Company,USES,verification solution,Technology,IAS is now the first verification provider accessible within the APS Connections Marketplace,0.78
art_0022::c0000,2023-10-05,Samsung Electronics Co. Ltd.,Company,DEVELOPED,analog and logic semiconductor technologies,Technology,Samsung Electronics Co. Ltd. a world leader in advanced semiconductor technology today unveiled its latest innovations in analog and logic semiconductor technologies,0.95
art_0023::c0000,2023-09-19,Apple,Company,DEVELOPED,iPhone 15,Technology,Apple announced the launch of the iPhone 15 on 12th September to worldwide fanfare.,0.95
art_0030::c0000,2023-04-19,Renovus,Company,INVESTED_IN,Aretum,Company,Aretum becomes the fourth company backed by Renovus,0.95
art_0033::c0000,2023-08-14,SIOS Technology Corp,Company,PARTNERED_WITH,ACP IT Solutions GmbH Dresden,Company,SIOS Technology Corp ... announced it has partnered with ACP IT Solutions GmbH Dresden,0.99
art_0028::c0000,2023-03-10,Charlie,Person,WORKED_AT,Information Services Group Inc.,Company,My name is Charlie and I will be coordinating the call today.,0.62
art_0040::c0000,2023-02-22,Synchronoss,Company,DEVELOPED,AI-Powered Personal Cloud Platform,Technology,new Synchronoss Personal Cloud platform,0.95
art_0044::c0000,2023-02-21,Ridgewood Infrastructure,Company,PARTNERED_WITH,IDE Technologies,Company,Ridgewood Infrastructure and IDE Technologies Announce Water PPP,0.9
art_0044::c0000,2023-02-21,Ridgewood Infrastructure,Company,USES,nano-filtration,Technology,using state-of-the-art nano-filtration,0.7
art_0044::c0000,2023-02-21,Ridgewood Infrastructure,Company,USES,ion exchange technology,Technology,using state-of-the-art ... ion exchange technology,0.7
art_0044::c0000,2023-02-21,IDE Technologies,Company,USES,nano-filtration,Technology,using state-of-the-art nano-filtration,0.6
art_0044::c0000,2023-02-21,IDE Technologies,Company,USES,ion exchange technology,Technology,using state-of-the-art ... ion exchange technology,0.6
art_0042::c0000,2023-08-04,Revolut,Company,USES,cryptocurrencies,Technology,Revolut will stop allowing U.S. customers to access cryptocurrencies,0.9
art_0029::c0000,2023-03-28,Intelligent Technical Solutions,Company,ACQUIRED,Granite Computer Solutions,Company,has acquired Granite Computer Solutions (Tempe AZ),0.95
art_0029::c0000,2023-03-28,Intelligent Technical Solutions,Company,ACQUIRED,BrightWire Networks,Company,has acquired BrightWire Networks (Olympia,0.95
art_0029::c0000,2023-03-28,Tower Arch Capital,Company,INVESTED_IN,Intelligent Technical Solutions,Company,a portfolio company of Tower Arch Capital,0.95
art_0046::c0000,2022-12-12,AGC Biologics,Company,PARTNERED_WITH,Gore,Company,AGC Biologics and Gore Collaborate on New Protein A-based Purification Technology and Contract Manufacturing Services for Antibody Therapies,0.98
art_0046::c0000,2022-12-12,Gore,Company,DEVELOPED,GORE® Protein Capture Devices,Technology,the family of GORE® Protein Capture Devices with Protein A,0.95
